dataset,alpha,seed,fold,accuracy,macro_f1,auc,set_redundancy,weighted_redundancy
WDBC,0.6,43,0,0.9385964912280702,0.9343480049362403,0.9412053717654766,0.34936012096172037,0.5487817282623213
WDBC,0.8,43,0,0.9122807017543859,0.9047778149014367,0.9356370782836554,0.26579175950413714,0.21347155485761843
WDBC,1.0,43,0,0.9122807017543859,0.9047778149014367,0.9372748116606616,0.2647072583440598,0.20976940800024815
WDBC,0.0,43,1,0.9210526315789473,0.9155902920608803,0.9585653455617426,0.4504836048290781,0.6518248208021722
WDBC,0.2,43,1,0.9385964912280702,0.933693394266722,0.9649525057320668,0.3576840363505165,0.5876298768276845
WDBC,0.4,43,1,0.9122807017543859,0.9074675324675325,0.9438257451686866,0.24775243196526175,0.36910841060271427
WDBC,0.6,43,1,0.9122807017543859,0.9074675324675325,0.9412053717654766,0.24775243196526175,0.3724008216127816
WDBC,0.8,43,1,0.9122807017543859,0.9074675324675325,0.9652800524074681,0.21610929282244018,0.30918479595871307
WDBC,1.0,43,1,0.9122807017543859,0.9074675324675325,0.9652800524074681,0.21610929282244018,0.30918479595871307
WDBC,0.0,43,2,0.9122807017543859,0.9037162162162162,0.9161706349206349,0.3981857336566756,0.6157359375824251
WDBC,0.2,43,2,0.9035087719298246,0.8921475875118259,0.91385582010582,0.3519493629574954,0.5821798056278223
WDBC,0.4,43,2,0.9035087719298246,0.8921475875118259,0.91385582010582,0.3519493629574954,0.5821798056278223
WDBC,0.6,43,2,0.8947368421052632,0.8869047619047619,0.929728835978836,0.2773141011238851,0.3628566465557492
WDBC,0.8,43,2,0.9210526315789473,0.9147486497714998,0.951058201058201,0.3743356127195421,0.3050290011083452
WDBC,1.0,43,2,0.9210526315789473,0.9147486497714998,0.951058201058201,0.2656909851010251,0.2811800836924095
WDBC,0.0,43,3,0.9298245614035088,0.922972972972973,0.9680886243386244,0.5139252043716027,0.6372661531290542
WDBC,0.2,43,3,0.9122807017543859,0.9066491975106452,0.9743716931216931,0.3362143367480026,0.6087824100502781
WDBC,0.4,43,3,0.9122807017543859,0.9066491975106452,0.9743716931216931,0.3362143367480026,0.6087824100502781
WDBC,0.6,43,3,0.9385964912280702,0.933693394266722,0.9791666666666666,0.3263026582424756,0.5629634058502805
WDBC,0.8,43,3,0.9473684210526315,0.9434523809523809,0.9781746031746033,0.31932022859288695,0.5125539147341089
WDBC,1.0,43,3,0.9122807017543859,0.9047778149014367,0.9386574074074074,0.22023523152740201,0.29482461679664695
WDBC,0.0,43,4,0.9646017699115044,0.9627799736495388,0.9750167672702884,0.4062295182380819,0.6564743320408203
WDBC,0.2,43,4,0.9734513274336283,0.9717146433041302,0.9788732394366197,0.3603953038545684,0.6457708472568591
WDBC,0.4,43,4,0.9734513274336283,0.9717146433041302,0.9730046948356808,0.2059836108100221,0.2513251846443095
WDBC,0.6,43,4,0.9734513274336283,0.9717146433041302,0.9730046948356808,0.2059836108100221,0.2513251846443095
WDBC,0.8,43,4,0.9734513274336283,0.9717146433041302,0.9730046948356808,0.2059836108100221,0.2513251846443095
WDBC,1.0,43,4,0.9734513274336283,0.9717146433041302,0.9730046948356808,0.2059836108100221,0.2513251846443095
WDBC,0.0,44,0,0.9473684210526315,0.9439895185063871,0.9572551588601376,0.3861322174249918,0.5620138828238765
WDBC,0.2,44,0,0.9385964912280702,0.9349474199070678,0.9569276121847363,0.30011663885366446,0.5415155486561302
WDBC,0.4,44,0,0.9385964912280702,0.9349474199070678,0.9569276121847363,0.30011663885366446,0.5415155486561302
WDBC,0.6,44,0,0.9298245614035088,0.9253193580085162,0.9493940386505078,0.3036870409102125,0.3490497287882127
WDBC,0.8,44,0,0.9210526315789473,0.9163609684519443,0.9459547985587946,0.27009722137978276,0.259605968958889
WDBC,1.0,44,0,0.9210526315789473,0.9163609684519443,0.9385849983622666,0.23652838645914778,0.23407354149641152
WDBC,0.0,44,1,0.9473684210526315,0.9439895185063871,0.9814936128398296,0.43359986568536635,0.5713968833451434
WDBC,0.2,44,1,0.9385964912280702,0.9343480049362403,0.9489027186374057,0.36112585821959287,0.47830286596413146
WDBC,0.4,44,1,0.9122807017543859,0.9082125603864735,0.9500491320013101,0.3166154481750204,0.3739614364951094
WDBC,0.6,44,1,0.9035087719298246,0.8986339018672702,0.937929905011464,0.28904138196815654,0.33324377148384865
WDBC,0.8,44,1,0.9035087719298246,0.8986339018672702,0.937929905011464,0.2958614886634726,0.3293333104379399
WDBC,1.0,44,1,0.8859649122807017,0.8791880655416973,0.9425155584670817,0.2754728477109709,0.35171493495120276
WDBC,0.0,44,2,0.956140350877193,0.9531057178116001,0.9639550264550265,0.48963441843023064,0.6838023132594118
WDBC,0.2,44,2,0.956140350877193,0.9531057178116001,0.9654431216931217,0.33104493248958516,0.6410428481040524
WDBC,0.4,44,2,0.9649122807017544,0.9623015873015872,0.9712301587301587,0.2876318870781747,0.5079266457619932
WDBC,0.6,44,2,0.956140350877193,0.9531057178116001,0.9636243386243386,0.29081189679273967,0.5065328408309651
WDBC,0.8,44,2,0.9473684210526315,0.9439895185063871,0.9642857142857143,0.28487432634553006,0.48522057609082403
WDBC,1.0,44,2,0.8947368421052632,0.8898550724637682,0.9565145502645502,0.22844699451480643,0.21849777464555029
WDBC,0.0,44,3,0.956140350877193,0.9526381387619444,0.9647817460317462,0.3743522688396112,0.6181002020251355
WDBC,0.2,44,3,0.956140350877193,0.9526381387619444,0.9647817460317462,0.2945321194122507,0.5346086570901585
WDBC,0.4,44,3,0.956140350877193,0.9526381387619444,0.9530423280423281,0.28335350841867457,0.5338209676250435
WDBC,0.6,44,3,0.956140350877193,0.9526381387619444,0.9530423280423281,0.28335350841867457,0.5338209676250435
WDBC,0.8,44,3,0.9473684210526315,0.9439895185063871,0.965112433862434,0.271483811070201,0.24959708240991493
WDBC,1.0,44,3,0.9473684210526315,0.9439895185063871,0.9657738095238096,0.27609892792959057,0.20439096870989448
WDBC,0.0,44,4,0.911504424778761,0.9052649228705567,0.9248826291079812,0.3812343908786143,0.64042368014524
WDBC,0.2,44,4,0.9292035398230089,0.9249169435215947,0.9595908786049632,0.2913389791930062,0.6058861826832721
WDBC,0.4,44,4,0.9469026548672567,0.943687707641196,0.9699865861837693,0.25937033777444507,0.5497628873941509
WDBC,0.6,44,4,0.9469026548672567,0.943687707641196,0.9579141515761235,0.2295220999836738,0.27405789543241643
WDBC,0.8,44,4,0.9469026548672567,0.943687707641196,0.9579141515761235,0.2295220999836738,0.27405789543241643
WDBC,1.0,44,4,0.9469026548672567,0.943687707641196,0.9579141515761235,0.2295220999836738,0.27405789543241643
Wine,0.0,42,0,0.7330769230769231,0.7085674452199182,0.7828583873999861,0.24478904535766594,0.15867026951797755
Wine,0.2,42,0,0.7376923076923076,0.7052994903070589,0.7903054479317118,0.24478904535766594,0.14505182381166415
Wine,0.4,42,0,0.7361538461538462,0.7021931116378444,0.7911868171617363,0.24478904535766594,0.14195464519658102
Wine,0.6,42,0,0.7315384615384616,0.6948067367191825,0.7906531557348861,0.24478904535766594,0.13193481057361173
Wine,0.8,42,0,0.7315384615384616,0.6990722777051492,0.7923700426164948,0.22702900516982558,0.12288409020178298
Wine,1.0,42,0,0.7315384615384616,0.7093751341185393,0.7892279358383578,0.20808853407600383,0.10544446070280433
Wine,0.0,42,1,0.7476923076923077,0.7254523211641234,0.7919331789663526,0.24478904535766594,0.1718210242468791
Wine,0.2,42,1,0.7446153846153846,0.7228899572649573,0.7997037478570754,0.24478904535766594,0.17372087910255282
