dataset,rep,corr_method,penalty_agg,corr_scope,fit_seconds,accuracy,macro_f1,auc
Synthetic,3,pearson,product,node,0.0624037999950815,0.8,0.7995634938310098,0.8345705903271692
Synthetic,4,pearson,product,global,0.06568879999394994,0.75,0.7498638147435825,0.7648915362731152
Synthetic,4,spearman,product,global,0.06875360000412911,0.75,0.7498638147435825,0.773493065433855
Synthetic,4,pearson,min,global,0.06436350000149105,0.75,0.7498638147435825,0.7648915362731152
Synthetic,4,pearson,mean,global,0.06924859998980537,0.7733333333333333,0.7732426303854876,0.8284583926031296
Synthetic,4,pearson,product,node,0.06757470000593457,0.74,0.7398959583833533,0.7622021692745378
Synthetic,5,pearson,product,global,0.06422749999910593,0.7966666666666666,0.7958477894666385,0.8525960170697013
Synthetic,5,spearman,product,global,0.06492999999318272,0.79,0.7889659330720531,0.8481952347083925
Synthetic,5,pearson,min,global,0.06248849999974482,0.7966666666666666,0.7958477894666385,0.8525960170697013
Synthetic,5,pearson,mean,global,0.06814410000515636,0.7933333333333333,0.7932506335867681,0.8327702702702704
Synthetic,5,pearson,product,node,0.0689762999973027,0.7933333333333333,0.7925866452562559,0.8447279516358464
Synthetic,6,pearson,product,global,0.0654212999943411,0.77,0.7694235588972431,0.8145225817923186
Synthetic,6,spearman,product,global,0.07218390000343788,0.77,0.7694235588972431,0.8118109886201991
Synthetic,6,pearson,min,global,0.06788509999751113,0.77,0.7692590652205415,0.8107885846372688
Synthetic,6,pearson,mean,global,0.06991299999936018,0.7533333333333333,0.7519996425220072,0.8365264935988621
Synthetic,6,pearson,product,node,0.0824434999958612,0.77,0.7695672985940265,0.8175453413940256
Synthetic,7,pearson,product,global,0.07080000000132713,0.7633333333333333,0.7633096642997633,0.7994087837837838
Synthetic,7,spearman,product,global,0.0729843000008259,0.7633333333333333,0.7633096642997633,0.8055432076813656
Synthetic,7,pearson,min,global,0.07637380000960547,0.7933333333333333,0.7931862657890055,0.8190122688477952
Synthetic,7,pearson,mean,global,0.07405480000306852,0.7566666666666667,0.7566423308997566,0.8004089615931721
Synthetic,7,pearson,product,node,0.07050050000543706,0.7866666666666666,0.7865812991863412,0.836526493598862
Synthetic,8,pearson,product,global,0.07569990000047255,0.75,0.7496634363978237,0.812544452347084
Synthetic,8,spearman,product,global,0.07983570000214968,0.7766666666666666,0.7765450078376005,0.8243910028449504
Synthetic,8,pearson,min,global,0.07829260001017246,0.7533333333333333,0.7529380341880342,0.8235464082503555
Synthetic,8,pearson,mean,global,0.07749609999882523,0.74,0.7398959583833533,0.8150782361308676
Synthetic,8,pearson,product,node,0.09155930000997614,0.78,0.7795198432141108,0.8369265647226173
Synthetic,9,pearson,product,global,0.06801679999625776,0.7566666666666667,0.7563390780938818,0.7888958036984353
Synthetic,9,spearman,product,global,0.06824469999992289,0.7666666666666667,0.7665732959850606,0.7896070412517782
Synthetic,9,pearson,min,global,0.06634079999639653,0.7666666666666667,0.7665732959850606,0.7929631934566145
Synthetic,9,pearson,mean,global,0.07448939999449067,0.77,0.7688674505074866,0.8329703058321478
Synthetic,9,pearson,product,node,0.07135860000562388,0.76,0.7591328783621036,0.7873399715504978
