Feature,Raw Gain,Corr with Root,Penalty,ACP Score,CART Rank,ACP Rank
mean texture,0.04369458067761056,0.3525729471502959,0.9294854105699408,0.04061347526081026,1,2
worst texture,0.04369458067761056,0.3599207542210483,0.9280158491557904,0.04054926339103895,2,3
texture error,0.04211074244315237,0.1116903131249303,0.977661937375014,0.04117007004127257,3,1
mean concavity,0.04120594548572379,0.6882364076436728,0.8623527184712654,0.03553405910679267,4,4
worst concavity,0.03722504072125883,0.5739747080993036,0.8852050583801393,0.03295179434486498,5,5
