dataset,method,rep,fit_seconds
Ionosphere,ACP-node,0,0.057690800007549115
Ionosphere,ACP-node,1,0.035442299995338544
Ionosphere,ACP-node,2,0.034645899999304675
Ionosphere,ACP-node,3,0.03450639999937266
Ionosphere,ACP-node,4,0.03518039999471512
Ionosphere,ACP-node,5,0.05909580001025461
Ionosphere,ACP-node,6,0.06934719999844674
Ionosphere,ACP-node,7,0.04104100000404287
Ionosphere,ACP-node,8,0.035063700008322485
Ionosphere,ACP-node,9,0.03605080000124872
Sonar,CART,0,0.05563790000451263
Sonar,CART,1,0.059828099998412654
Sonar,CART,2,0.0729356999945594
Sonar,CART,3,0.07199920000857674
Sonar,CART,4,0.05611259999568574
Sonar,CART,5,0.05521910000243224
Sonar,CART,6,0.08086309999634977
Sonar,CART,7,0.06186329999763984
Sonar,CART,8,0.07643659999303054
Sonar,CART,9,0.085143500007689
Sonar,ACP-global,0,0.07005670000216924
Sonar,ACP-global,1,0.06051070000103209
Sonar,ACP-global,2,0.0701520000002347
Sonar,ACP-global,3,0.09979320000275038
Sonar,ACP-global,4,0.12071329999889713
Sonar,ACP-global,5,0.07097430000430904
Sonar,ACP-global,6,0.07956550001108553
Sonar,ACP-global,7,0.0888515999977244
Sonar,ACP-global,8,0.06364629999734461
Sonar,ACP-global,9,0.06125660000543576
Sonar,ACP-node,0,0.06717809999827296
Sonar,ACP-node,1,0.07422590001078788
Sonar,ACP-node,2,0.08022590000473429
Sonar,ACP-node,3,0.06790619999810588
Sonar,ACP-node,4,0.06321190000744537
Sonar,ACP-node,5,0.0631610999989789
Sonar,ACP-node,6,0.06961549998959526
Sonar,ACP-node,7,0.06842199999664444
Sonar,ACP-node,8,0.06714759999886155
Sonar,ACP-node,9,0.06338130000222009
Pima,CART,0,0.022803699990618043
Pima,CART,1,0.022811899994849227
Pima,CART,2,0.022133299993583933
Pima,CART,3,0.02247019999776967
Pima,CART,4,0.022983400005614385
Pima,CART,5,0.022402400005375966
Pima,CART,6,0.024311200002557598
Pima,CART,7,0.022331900006975047
Pima,CART,8,0.021209600003203377
Pima,CART,9,0.020955900006811135
Pima,ACP-global,0,0.02455480000935495
Pima,ACP-global,1,0.025439600009121932
Pima,ACP-global,2,0.024909600004320964
Pima,ACP-global,3,0.02459689999523107
Pima,ACP-global,4,0.024798699989332817
Pima,ACP-global,5,0.02458199999819044
Pima,ACP-global,6,0.024982200004160404
Pima,ACP-global,7,0.024659099988639355
Pima,ACP-global,8,0.02468649999354966
Pima,ACP-global,9,0.02472000000125263
Pima,ACP-node,0,0.02921069999865722
Pima,ACP-node,1,0.029384099994786084
Pima,ACP-node,2,0.02906079999229405
Pima,ACP-node,3,0.0293929999897955
Pima,ACP-node,4,0.028995099986786954
Pima,ACP-node,5,0.030001199993421324
Pima,ACP-node,6,0.02977660000033211
Pima,ACP-node,7,0.02923430000373628
Pima,ACP-node,8,0.028668600003584288
Pima,ACP-node,9,0.02873669999826234
