dataset,method,seed,fold,selected_alpha,selected_rrf_lambda,fold_tuned_alpha,fold_tuned_rrf_lambda,accuracy,macro_f1,auc,n_nodes,depth,vif_dropped,main_set_redundancy,main_weighted_redundancy,root_agreement,feature_set_jaccard,importance_rank_corr,top5_jaccard,structural_distance,bootstrap_set_redundancy,bootstrap_weighted_redundancy
WDBC,VIF+CART,43,3,0.2,0.7,0.6,0.5,0.9210526315789472,0.9147486497714998,0.9403108465608466,27,6,14,0.3349925606190408,0.232065779755747,0.62,0.327959392081841,0.3268629275727738,0.2705526401036605,0.8820148541443679,0.2794159851209846,0.2906100933628742
WDBC,RRF-style,43,3,0.2,0.7,0.6,0.5,0.956140350877193,0.9539245008487592,0.9745370370370372,29,6,0,0.3890775991518654,0.6038815832295928,0.42,0.2653798333186088,0.2967542173160487,0.2554275996112731,0.9003560436262341,0.4698708796277239,0.6335186770608164
WDBC,ACP-Gini,43,3,0.2,0.7,0.6,0.5,0.912280701754386,0.9066491975106452,0.9743716931216932,25,6,0,0.3362143367480026,0.6087824100502781,0.42,0.2656115180671003,0.2465655707021512,0.225341755749919,0.9128795008256756,0.3504828200347648,0.5677532621093154
WDBC,CART,43,4,0.2,0.7,0.2,0.5,0.9646017699115044,0.9627799736495388,0.9750167672702884,27,6,0,0.4062295182380819,0.6564743320408203,0.38,0.3132944136695637,0.2806593084720862,0.2335860058309038,0.9110878352430652,0.4715484058869683,0.6238998831988481
WDBC,VIF+CART,43,4,0.2,0.7,0.2,0.5,0.9557522123893806,0.9536619371770688,0.9785378940308518,35,6,14,0.1827821665727681,0.2387472018734715,0.3,0.3076237979707367,0.2922225307726558,0.2648461289277616,0.8953306585485146,0.2702822209397397,0.3139600651041564
WDBC,RRF-style,43,4,0.2,0.7,0.2,0.5,0.9734513274336284,0.9719672537831804,0.9849094567404426,31,6,0,0.3275815566944199,0.5807407350852141,0.38,0.2398405721262864,0.2518001559665517,0.23948558471007447,0.916885979971108,0.4676603425129134,0.6022591326548709
WDBC,ACP-Gini,43,4,0.2,0.7,0.2,0.5,0.9734513274336284,0.9717146433041302,0.9788732394366196,27,6,0,0.3603953038545684,0.6457708472568591,0.38,0.2613791016239996,0.2010439571700803,0.2042695173307418,0.9188925895994622,0.3455111506134131,0.5427083920984659
WDBC,CART,44,0,0.2,0.7,1.0,0.9,0.9473684210526316,0.9439895185063872,0.9572551588601376,27,6,0,0.3861322174249918,0.5620138828238765,0.38,0.313177138054689,0.3125626852928809,0.2585487528344671,0.8908012507244515,0.4876879687671077,0.620811206617822
WDBC,VIF+CART,44,0,0.2,0.7,1.0,0.9,0.9210526315789472,0.9147486497714998,0.9513593187029152,27,5,13,0.3822621669136604,0.5291318217436305,0.48,0.3016876570141876,0.3209814837032465,0.2735821185617104,0.8688980295479306,0.3008964342715234,0.3942922142085488
WDBC,RRF-style,44,0,0.2,0.7,1.0,0.9,0.9649122807017544,0.9619111259605746,0.9749426793318048,27,6,0,0.4998558945584816,0.6620144997409211,0.38,0.2436120093058869,0.2631173877132005,0.237843537414966,0.9037976622094585,0.4760140992424375,0.6048122971119377
WDBC,ACP-Gini,44,0,0.2,0.7,1.0,0.9,0.9385964912280702,0.9349474199070678,0.9569276121847364,27,6,0,0.3001166388536644,0.5415155486561302,0.38,0.2518581984908515,0.2268877915853889,0.2144250080984775,0.9120128375201668,0.3366904572809236,0.5404279547743094
WDBC,CART,44,1,0.2,0.7,0.4,0.5,0.9473684210526316,0.9439895185063872,0.9814936128398296,25,6,0,0.4335998656853663,0.5713968833451434,0.48,0.3283184621167814,0.317889148374929,0.245795270489148,0.9043256186155236,0.4356862318483881,0.5844593858072564
WDBC,VIF+CART,44,1,0.2,0.7,0.4,0.5,0.912280701754386,0.9074675324675324,0.9502129053390108,35,6,14,0.2307748516608604,0.2596862671559994,0.3,0.3242787845741027,0.2852933749221654,0.2242144476838354,0.893863840570427,0.272835570428771,0.3165238582591146
WDBC,RRF-style,44,1,0.2,0.7,0.4,0.5,0.9473684210526316,0.9434523809523808,0.9595479855879464,27,6,0,0.563170586118608,0.6330402592501715,0.48,0.2642883986761538,0.2789644079295023,0.23104632329122124,0.900812683974948,0.4354054933931127,0.5721668694973868
WDBC,ACP-Gini,44,1,0.2,0.7,0.4,0.5,0.9385964912280702,0.9343480049362404,0.9489027186374056,25,6,0,0.3611258582195928,0.4783028659641314,0.48,0.2971308079675426,0.2742476879807379,0.2271979267897635,0.9100074925573484,0.3313751383988862,0.5133288149545566
WDBC,CART,44,2,0.2,0.7,0.2,0.7,0.956140350877193,0.9531057178116,0.9639550264550264,25,6,0,0.4896344184302306,0.6838023132594118,0.46,0.3010667358518499,0.2873838447967049,0.2592290249433106,0.9014305381526037,0.4608706234757329,0.6207339349424854
WDBC,VIF+CART,44,2,0.2,0.7,0.2,0.7,0.9298245614035088,0.9253193580085162,0.9636243386243388,29,6,13,0.3005088633900912,0.6309320018835174,0.38,0.3004669143714761,0.2864406253124298,0.2438036929057336,0.8983164551363784,0.2794037319824833,0.3741304564521356
WDBC,RRF-style,44,2,0.2,0.7,0.2,0.7,0.9473684210526316,0.9434523809523808,0.9578373015873016,25,6,0,0.4345157988525897,0.6561403360767023,0.46,0.2215275155683319,0.2291328589373805,0.22414868804664717,0.9091811346942156,0.4577984597132601,0.5788147966060673
WDBC,ACP-Gini,44,2,0.2,0.7,0.2,0.7,0.956140350877193,0.9531057178116,0.9654431216931216,25,6,0,0.3310449324895851,0.6410428481040524,0.46,0.255496106268015,0.2190185451769104,0.2169420149011985,0.916675179665705,0.3463661161075212,0.5367645536131116
WDBC,CART,44,3,0.2,0.7,0.2,0.9,0.956140350877193,0.9526381387619444,0.9647817460317462,21,5,0,0.3743522688396112,0.6181002020251355,0.38,0.2748142203268254,0.2614120058717014,0.2605442176870748,0.9012471185224707,0.4360704264680767,0.5853557748695544
WDBC,VIF+CART,44,3,0.2,0.7,0.2,0.9,0.9385964912280702,0.9329805996472662,0.96494708994709,25,5,13,0.3822621669136604,0.5315294244597881,0.6,0.3108686857360326,0.3311988182928265,0.309303530936184,0.8603422435080569,0.2835502685807147,0.3413840634960351
WDBC,RRF-style,44,3,0.2,0.7,0.2,0.9,0.956140350877193,0.9526381387619444,0.9723875661375662,21,5,0,0.3461134344679835,0.6116065774842402,0.38,0.2174723235947725,0.2049557137288689,0.20992322643343053,0.9120152186695464,0.434925558599913,0.5879237328086344
WDBC,ACP-Gini,44,3,0.2,0.7,0.2,0.9,0.956140350877193,0.9526381387619444,0.9647817460317462,21,5,0,0.2945321194122507,0.5346086570901585,0.38,0.2496506062964646,0.2154243064680606,0.2296080336896663,0.9176165001850856,0.32605043011318,0.5361865955560287
WDBC,CART,44,4,0.2,0.7,0.4,0.7,0.911504424778761,0.9052649228705568,0.9248826291079812,27,6,0,0.3812343908786143,0.64042368014524,0.44,0.2921457037027264,0.2665755226138038,0.2220570132815031,0.9124294389645372,0.4809149140636778,0.6281409992361605
WDBC,VIF+CART,44,4,0.2,0.7,0.4,0.7,0.9646017699115044,0.9627799736495388,0.9849094567404426,29,6,13,0.3629138028783636,0.5008960723063343,0.58,0.3392557952251829,0.3659023879309933,0.3064839650145772,0.8727957588144718,0.2812585179591524,0.3225348255657357
WDBC,RRF-style,44,4,0.2,0.7,0.4,0.7,0.9292035398230089,0.9249169435215948,0.9495305164319248,27,6,0,0.3097297813852278,0.6193484046910419,0.44,0.2352948434785169,0.2457197152922897,0.2128299319727891,0.9040844639343724,0.4600075404381892,0.6153257459832387
WDBC,ACP-Gini,44,4,0.2,0.7,0.4,0.7,0.9292035398230089,0.9249169435215948,0.9595908786049632,27,6,0,0.2913389791930062,0.6058861826832721,0.44,0.2585197122472032,0.2123438442608722,0.200527048914804,0.9129918286118452,0.3569017756597602,0.565811679767785
Wine,CART,42,0,1.0,0.9,1.0,0.9,0.7330769230769231,0.7085674452199182,0.7828583873999861,109,6,0,0.2447890453576659,0.1586702695179775,1.0,0.9760296846011132,0.6664860853432283,0.6191545189504374,0.5789472417113536,0.2440760192870703,0.1813245987298655
